CVD_Type,Method,Metric,Mean,Std
protanopia,Autoencoder,DeltaE,9.04089323829,1.42304312787
protanopia,Autoencoder,CCI,9.49054962944,1.56479607626
protanopia,Autoencoder,SSIM,0.818868279457,0.0872526168823
protanopia,Autoencoder,Contrast,0.969544341269,0.0508105287327
protanopia,Autoencoder,Color_Variance,180.788614555,44.4166412293
protanopia,Autoencoder,Distinct_Colors,6.6,2.24499443206
protanopia,Autoencoder,CVD_Effectiveness_Score,0.850555764229,0.0613143363629
protanopia,Glass_Effect,DeltaE,13.3510384771,2.44781479251
protanopia,Glass_Effect,CCI,40.2094009557,21.3523017164
protanopia,Glass_Effect,SSIM,0.876110196114,0.0790444687009
protanopia,Glass_Effect,Contrast,0.917736397909,0.165453399183
protanopia,Glass_Effect,Color_Variance,414.943804467,135.845277989
protanopia,Glass_Effect,Distinct_Colors,2.8,1.07703296143
protanopia,Glass_Effect,CVD_Effectiveness_Score,0.707454880832,0.0794459883465
deuteranopia,Autoencoder,DeltaE,7.31126743108,0.378489404586
deuteranopia,Autoencoder,CCI,15.2353529333,6.01156605386
deuteranopia,Autoencoder,SSIM,0.891250610352,0.0304108988494
deuteranopia,Autoencoder,Contrast,0.953307366943,0.0953181879688
deuteranopia,Autoencoder,Color_Variance,193.30403343,16.926589733
deuteranopia,Autoencoder,Distinct_Colors,6.3,2.32594066992
deuteranopia,Autoencoder,CVD_Effectiveness_Score,0.853343572404,0.0454455501243
deuteranopia,Glass_Effect,DeltaE,14.5595788596,2.30323903515
deuteranopia,Glass_Effect,CCI,71.5523197016,47.038962001
deuteranopia,Glass_Effect,SSIM,0.874380707741,0.0865885391831
deuteranopia,Glass_Effect,Contrast,0.921346981643,0.158756533458
deuteranopia,Glass_Effect,Color_Variance,464.899044705,182.763002547
deuteranopia,Glass_Effect,Distinct_Colors,3.4,1.68522995464
deuteranopia,Glass_Effect,CVD_Effectiveness_Score,0.757698320262,0.0911913868437
tritanopia,Autoencoder,DeltaE,13.5386156107,2.19083012045
tritanopia,Autoencoder,CCI,37.6063365496,29.5224740096
tritanopia,Autoencoder,SSIM,0.888442516327,0.0145979849622
tritanopia,Autoencoder,Contrast,0.904283488981,0.112007942011
tritanopia,Autoencoder,Color_Variance,275.524284077,57.4529617478
tritanopia,Autoencoder,Distinct_Colors,5.2,2.31516738056
tritanopia,Autoencoder,CVD_Effectiveness_Score,0.866219461152,0.0498540546762
tritanopia,Glass_Effect,DeltaE,12.2583574001,2.29936270276
tritanopia,Glass_Effect,CCI,76.2815443919,60.2052162059
tritanopia,Glass_Effect,SSIM,0.881533324718,0.0770732685924
tritanopia,Glass_Effect,Contrast,0.930049697193,0.140245895265
tritanopia,Glass_Effect,Color_Variance,444.207566553,173.74091667
tritanopia,Glass_Effect,Distinct_Colors,2.8,1.32664991614
tritanopia,Glass_Effect,CVD_Effectiveness_Score,0.792255289843,0.139591824933
Overall,Autoencoder,DeltaE,9.96359209337,3.03507468502
Overall,Autoencoder,CCI,20.7774130375,21.2248625217
Overall,Autoencoder,SSIM,0.866187214851,0.0635439455509
Overall,Autoencoder,Contrast,0.942378399064,0.094024285498
Overall,Autoencoder,Color_Variance,216.538977354,60.159254595
Overall,Autoencoder,Distinct_Colors,6.03333333333,2.37323033484
Overall,Autoencoder,CVD_Effectiveness_Score,0.856706265928,0.0530716807712
Overall,Glass_Effect,DeltaE,13.3896582456,2.53204946521
Overall,Glass_Effect,CCI,62.6810883497,48.5176966948
Overall,Glass_Effect,SSIM,0.877341330051,0.0810632333159
Overall,Glass_Effect,Contrast,0.923044358915,0.155271274076
Overall,Glass_Effect,Color_Variance,441.350138575,166.635501552
Overall,Glass_Effect,Distinct_Colors,3.0,1.41421356237
Overall,Glass_Effect,CVD_Effectiveness_Score,0.752469496979,0.112175424018
