CVD_Type,Method,Metric,Mean,Std
protanopia,Autoencoder,DeltaE,6.95915939193,4.17040118786
protanopia,Autoencoder,CCI,0.0246809985126,0.0219807784416
protanopia,Autoencoder,SSIM,0.865783393383,0.0721093341708
protanopia,Autoencoder,Contrast,0.998293521981,0.0111764248484
protanopia,Autoencoder,Color_Variance,215.059161573,93.2781529923
protanopia,Autoencoder,Distinct_Colors,5.39,3.30422456864
protanopia,Autoencoder,CVD_Effectiveness_Score,0.927564645342,0.0724349391856
protanopia,Glass_Effect,DeltaE,10.5550421056,2.93464209884
protanopia,Glass_Effect,CCI,0.0439236362096,0.0340422739141
protanopia,Glass_Effect,SSIM,0.87520223856,0.0637400969863
protanopia,Glass_Effect,Contrast,0.970505709135,0.0686205157207
protanopia,Glass_Effect,Color_Variance,210.560622597,95.8891499561
protanopia,Glass_Effect,Distinct_Colors,4.07,3.52208744923
protanopia,Glass_Effect,CVD_Effectiveness_Score,0.832444458708,0.103243490227
deuteranopia,Autoencoder,DeltaE,5.30785962293,1.72759805136
deuteranopia,Autoencoder,CCI,0.0114080307868,0.00561249281051
deuteranopia,Autoencoder,SSIM,0.907963037491,0.029605474323
deuteranopia,Autoencoder,Contrast,0.995020817797,0.0189331061584
deuteranopia,Autoencoder,Color_Variance,218.610877318,92.4220028165
deuteranopia,Autoencoder,Distinct_Colors,5.75,3.58991643357
deuteranopia,Autoencoder,CVD_Effectiveness_Score,0.921684351845,0.0704905860807
deuteranopia,Glass_Effect,DeltaE,7.50051344025,1.55710648293
deuteranopia,Glass_Effect,CCI,0.00949321597714,0.00455327868896
deuteranopia,Glass_Effect,SSIM,0.889391541481,0.0580410808325
deuteranopia,Glass_Effect,Contrast,0.968614760117,0.070675858398
deuteranopia,Glass_Effect,Color_Variance,207.335057973,94.8812862866
deuteranopia,Glass_Effect,Distinct_Colors,5.35,4.05061723692
deuteranopia,Glass_Effect,CVD_Effectiveness_Score,0.866558321551,0.0937395064664
tritanopia,Autoencoder,DeltaE,9.75289582782,4.77381896146
tritanopia,Autoencoder,CCI,0.0473600994714,0.0235675283427
tritanopia,Autoencoder,SSIM,0.878064334393,0.0487921833992
tritanopia,Autoencoder,Contrast,0.995078993944,0.0228048141261
tritanopia,Autoencoder,Color_Variance,216.808979384,93.7619776524
tritanopia,Autoencoder,Distinct_Colors,6.31,4.03409221511
tritanopia,Autoencoder,CVD_Effectiveness_Score,0.938291201246,0.0713727905162
tritanopia,Glass_Effect,DeltaE,14.8113199566,3.97445007355
tritanopia,Glass_Effect,CCI,0.0421328939099,0.0205924274146
tritanopia,Glass_Effect,SSIM,0.816631257534,0.0758015736938
tritanopia,Glass_Effect,Contrast,0.970960721318,0.0823586067265
tritanopia,Glass_Effect,Color_Variance,182.178943424,69.8127160522
tritanopia,Glass_Effect,Distinct_Colors,4.78,3.52017045042
tritanopia,Glass_Effect,CVD_Effectiveness_Score,0.814751926814,0.0834145928471
Overall,Autoencoder,DeltaE,7.33997161423,4.21358473377
Overall,Autoencoder,CCI,0.027816376257,0.0240215500498
Overall,Autoencoder,SSIM,0.883936941624,0.0559708401561
Overall,Autoencoder,Contrast,0.996131111241,0.0183525679499
Overall,Autoencoder,Color_Variance,216.826339425,93.1669767639
Overall,Autoencoder,Distinct_Colors,5.81666666667,3.67465039909
Overall,Autoencoder,CVD_Effectiveness_Score,0.929180066144,0.0717672777501
Overall,Glass_Effect,DeltaE,10.9556251675,4.23468237213
Overall,Glass_Effect,CCI,0.0318499153655,0.0280178111041
Overall,Glass_Effect,SSIM,0.860408306122,0.0733774900436
Overall,Glass_Effect,Contrast,0.970027063523,0.0741392555925
Overall,Glass_Effect,Color_Variance,200.024874665,88.6076010954
Overall,Glass_Effect,Distinct_Colors,4.73333333333,3.74284502603
Overall,Glass_Effect,CVD_Effectiveness_Score,0.837918235691,0.0962482939524
