CVD_Type,Method,Metric,Mean,Std
protanopia,Autoencoder,DeltaE,9.040893234,1.42304313375
protanopia,Autoencoder,CCI,9.49054963165,1.56479607031
protanopia,Autoencoder,SSIM,0.818868279457,0.0872526094317
protanopia,Autoencoder,Contrast,0.969544341198,0.0508105278385
protanopia,Autoencoder,Color_Variance,180.788614677,44.4166412591
protanopia,Autoencoder,Distinct_Colors,6.4,1.42828568571
protanopia,Autoencoder,CVD_Effectiveness_Score,0.864470717253,0.0904287692006
protanopia,Glass_Effect,DeltaE,14.9658575338,1.40562113325
protanopia,Glass_Effect,CCI,32.8458932838,6.47034067702
protanopia,Glass_Effect,SSIM,0.884483218193,0.0292015038431
protanopia,Glass_Effect,Contrast,0.908888611954,0.182306939786
protanopia,Glass_Effect,Color_Variance,291.323328031,57.8557788087
protanopia,Glass_Effect,Distinct_Colors,2.0,0.632455532034
protanopia,Glass_Effect,CVD_Effectiveness_Score,0.747011232768,0.0664569603144
deuteranopia,Autoencoder,DeltaE,7.31126742474,0.378489409554
deuteranopia,Autoencoder,CCI,15.2353529161,6.01156603571
deuteranopia,Autoencoder,SSIM,0.891250610352,0.0304108802229
deuteranopia,Autoencoder,Contrast,0.953307366943,0.0953181879688
deuteranopia,Autoencoder,Color_Variance,193.304033425,16.9265898125
deuteranopia,Autoencoder,Distinct_Colors,7.2,2.63818119165
deuteranopia,Autoencoder,CVD_Effectiveness_Score,0.921774121558,0.0596405021137
deuteranopia,Glass_Effect,DeltaE,10.6666068795,0.648486971503
deuteranopia,Glass_Effect,CCI,15.2290839547,4.86996354413
deuteranopia,Glass_Effect,SSIM,0.913434326649,0.0251524373889
deuteranopia,Glass_Effect,Contrast,0.908171347552,0.183719901827
deuteranopia,Glass_Effect,Color_Variance,236.791610357,50.0871621924
deuteranopia,Glass_Effect,Distinct_Colors,3.3,1.41774468788
deuteranopia,Glass_Effect,CVD_Effectiveness_Score,0.797017149322,0.0613117114928
tritanopia,Autoencoder,DeltaE,13.5386156092,2.19083012023
tritanopia,Autoencoder,CCI,37.6063365018,29.5224739819
tritanopia,Autoencoder,SSIM,0.888442516327,0.0145979812369
tritanopia,Autoencoder,Contrast,0.904283490608,0.112007939241
tritanopia,Autoencoder,Color_Variance,275.524284044,57.452961772
tritanopia,Autoencoder,Distinct_Colors,4.6,2.33238075794
tritanopia,Autoencoder,CVD_Effectiveness_Score,0.934476708266,0.0634830177175
tritanopia,Glass_Effect,DeltaE,22.5305199492,1.43490702157
tritanopia,Glass_Effect,CCI,43.4852834278,17.3477604265
tritanopia,Glass_Effect,SSIM,0.834639668465,0.0300158448517
tritanopia,Glass_Effect,Contrast,0.94693840274,0.109602340709
tritanopia,Glass_Effect,Color_Variance,218.204772257,23.1602059978
tritanopia,Glass_Effect,Distinct_Colors,3.6,2.24499443206
tritanopia,Glass_Effect,CVD_Effectiveness_Score,0.809700500535,0.0715901188593
Overall,Autoencoder,DeltaE,9.96359208932,3.03507468778
Overall,Autoencoder,CCI,20.7774130165,21.2248624955
Overall,Autoencoder,SSIM,0.866187155247,0.0635439381003
Overall,Autoencoder,Contrast,0.942378399583,0.0940242840104
Overall,Autoencoder,Color_Variance,216.538977382,60.1592545833
Overall,Autoencoder,Distinct_Colors,6.06666666667,2.44858235629
Overall,Autoencoder,CVD_Effectiveness_Score,0.906907182359,0.0786265509451
Overall,Glass_Effect,DeltaE,16.0543281208,5.05333662952
Overall,Glass_Effect,CCI,30.5200868888,16.0607919338
Overall,Glass_Effect,SSIM,0.877519011497,0.0430634133518
Overall,Glass_Effect,Contrast,0.921332787415,0.163284235051
Overall,Glass_Effect,Color_Variance,248.773236882,55.6204721317
Overall,Glass_Effect,Distinct_Colors,2.96666666667,1.72207884708
Overall,Glass_Effect,CVD_Effectiveness_Score,0.784576294208,0.0718747362179
