Deficiency,Method,Metric,Mean,Std,Min,Max
protanopia,daltonized,Original_Variance,165.135879517,164.552932739,0.614746,831.914
protanopia,daltonized,Processed_Variance,155.943450928,178.099960327,1.11453,727.551
protanopia,daltonized,Variance_Improvement,-9.19243621826,59.6437034607,-222.866,165.349
protanopia,daltonized,Original_Colors,20.0,0.0,20.0,20.0
protanopia,daltonized,Processed_Colors,20.0,0.0,20.0,20.0
protanopia,daltonized,Colors_Improvement,0.0,0.0,0.0,0.0
protanopia,glass_effect,Original_Variance,165.135879517,164.552932739,0.614746,831.914
protanopia,glass_effect,Processed_Variance,948.086242676,585.790466309,83.6614,2871.82
protanopia,glass_effect,Variance_Improvement,782.950317383,554.491699219,-266.353,2648.34
protanopia,glass_effect,Original_Colors,20.0,0.0,20.0,20.0
protanopia,glass_effect,Processed_Colors,20.0,0.0,20.0,20.0
protanopia,glass_effect,Colors_Improvement,0.0,0.0,0.0,0.0
deuteranopia,daltonized,Original_Variance,221.156448364,215.674911499,2.99825,1087.8
deuteranopia,daltonized,Processed_Variance,148.968460083,160.73210144,0.968287,685.981
deuteranopia,daltonized,Variance_Improvement,-72.1879882812,120.074005127,-620.741,284.725
deuteranopia,daltonized,Original_Colors,20.0,0.0,20.0,20.0
deuteranopia,daltonized,Processed_Colors,20.0,0.0,20.0,20.0
deuteranopia,daltonized,Colors_Improvement,0.0,0.0,0.0,0.0
deuteranopia,glass_effect,Original_Variance,221.156448364,215.674911499,2.99825,1087.8
deuteranopia,glass_effect,Processed_Variance,339.795837402,253.365737915,33.1314,1202.36
deuteranopia,glass_effect,Variance_Improvement,118.639350891,184.259094238,-647.599,668.803
deuteranopia,glass_effect,Original_Colors,20.0,0.0,20.0,20.0
deuteranopia,glass_effect,Processed_Colors,20.0,0.0,20.0,20.0
deuteranopia,glass_effect,Colors_Improvement,0.0,0.0,0.0,0.0
tritanopia,daltonized,Original_Variance,71.8645248413,95.0710449219,1.53151,512.124
tritanopia,daltonized,Processed_Variance,59.0347976685,80.0699234009,0.797575,425.139
tritanopia,daltonized,Variance_Improvement,-12.8297281265,15.8248271942,-96.2156,4.66623
tritanopia,daltonized,Original_Colors,20.0,0.0,20.0,20.0
tritanopia,daltonized,Processed_Colors,20.0,0.0,20.0,20.0
tritanopia,daltonized,Colors_Improvement,0.0,0.0,0.0,0.0
tritanopia,glass_effect,Original_Variance,71.8645248413,95.0710449219,1.53151,512.124
tritanopia,glass_effect,Processed_Variance,731.887390137,370.203796387,78.3785,1985.26
tritanopia,glass_effect,Variance_Improvement,660.022888184,380.457244873,-29.3848,1979.94
tritanopia,glass_effect,Original_Colors,20.0,0.0,20.0,20.0
tritanopia,glass_effect,Processed_Colors,20.0,0.0,20.0,20.0
tritanopia,glass_effect,Colors_Improvement,0.0,0.0,0.0,0.0
